x,y
-1.82608695652173,2.37224669603524
-1.73913043478261,2.41850220264317
-1.65217391304347,2.37885462555066
-1.52173913043478,2.2863436123348
-1.47826086956521,2.24008810572687
-1.69565217391304,2.16740088105727
-1.04347826086956,2.16740088105727
-1.04347826086956,2.07488986784141
-1.41304347826087,2.1079295154185
-1.45652173913043,2.06828193832599
-1.56521739130434,2.08149779735683
-0.934782608695651,1.88986784140969
-0.0217391304347796,1.90969162995595
0.630434782608699,1.76431718061674
0.847826086956523,1.74449339207048
1.58695652173913,1.59911894273128
1.58695652173913,1.45374449339207
1.84782608695653,1.40748898678414
2.28260869565218,1.23568281938326
2.65217391304348,1.27533039647577
2.71739130434783,1.18281938325991
2.73913043478261,1.07709251101322
